Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
182,RaiQuan Gray,PF,24,SAS,3,0,130,33,57,.588,10,23,.429,23,33,.700,.676,0,0,,7,17,23,20,3,3,3,0,77
183,A.J. Green,SG,24,MIL,56,0,110,15,35,.423,12,30,.408,3,5,.519,.599,3,3,.895,2,10,11,5,2,1,2,9,45
184,Danny Green,SG,36,PHI,2,0,90,0,10,.000,0,5,.000,0,5,.000,.000,0,0,,0,10,10,5,5,0,0,5,0
185,Draymond Green,PF,33,GSW,55,52,271,34,68,.497,9,23,.395,24,44,.551,.566,10,13,.730,14,59,72,60,10,9,25,30,86
186,Jalen Green,SG,21,HOU,82,82,317,69,162,.423,25,74,.332,44,89,.498,.498,35,43,.804,5,47,52,35,8,3,23,14,196
187,Javonte Green,SF,30,CHI,9,5,256,50,83,.600,11,30,.370,39,53,.729,.667,11,14,.769,22,52,74,6,11,9,8,21,122
188,Jeff Green,PF,37,HOU,78,6,168,21,47,.456,7,21,.331,15,26,.553,.529,16,19,.819,6,17,23,9,2,4,6,13,65
189,Josh Green,SG,23,DAL,57,33,264,31,66,.479,13,33,.385,19,33,.572,.575,7,10,.684,7,25,32,23,8,2,11,19,82
190,AJ Griffin,SF,20,ATL,20,0,86,9,31,.290,5,20,.256,4,12,.348,.371,1,1,1.000,1,8,9,3,1,1,4,3,24
191,Quentin Grimes,SG,23,TOT,51,18,201,24,64,.372,16,47,.338,8,17,.466,.495,7,9,.756,3,17,20,13,7,1,5,15,70
191,Quentin Grimes,SG,23,NYK,45,18,202,25,64,.395,17,47,.363,8,16,.486,.530,5,8,.706,3,16,20,12,7,1,5,15,73
191,Quentin Grimes,SG,23,DET,6,0,192,15,70,.214,7,47,.143,8,23,.357,.262,17,18,.909,2,18,20,23,8,7,12,15,53
192,Mouhamadou Gueye,PF,25,TOR,11,0,109,10,35,.289,0,3,.000,10,32,.314,.289,4,8,.444,11,10,21,5,3,16,11,14,24
193,Mouhamed Gueye,PF,21,ATL,6,0,122,13,38,.348,5,15,.333,8,23,.357,.413,8,10,.833,17,20,37,7,8,7,2,22,40
194,Rui Hachimura,PF,25,LAL,68,39,269,53,99,.537,14,34,.422,39,65,.597,.609,15,20,.739,9,35,43,12,6,4,7,15,136
195,Ashton Hagans,PG,24,POR,19,1,166,15,37,.408,4,13,.320,11,24,.457,.465,7,9,.824,7,16,24,28,6,5,16,21,42
196,Tyrese Haliburton,PG,23,IND,69,68,322,72,152,.477,28,78,.364,44,74,.595,.570,28,33,.855,5,34,39,109,12,7,23,11,201
197,R.J. Hampton,PG,22,MIA,8,2,95,5,18,.286,1,10,.125,4,8,.500,.321,1,3,.500,3,5,8,10,0,0,4,10,13
198,Tim Hardaway Jr.,SF,31,DAL,79,12,268,50,124,.402,27,76,.353,23,48,.478,.510,18,21,.852,3,29,32,18,5,1,9,13,144
199,James Harden,PG,34,LAC,72,72,343,49,114,.428,26,68,.381,23,46,.497,.541,42,48,.878,5,47,51,85,11,8,26,18,166
200,Jaden Hardy,SG,21,DAL,73,7,135,27,66,.407,11,31,.362,16,35,.447,.492,8,10,.776,3,15,18,15,3,1,8,11,73
201,Ron Harper Jr.,PF,23,TOR,1,0,40,0,0,,0,0,,0,0,,,0,0,,0,0,0,10,0,0,0,20,0
202,Gary Harris,SG,29,ORL,54,27,240,24,55,.441,14,38,.371,10,17,.598,.569,6,8,.756,4,12,17,16,9,3,6,17,69
203,Joe Harris,SG,32,DET,16,0,106,9,24,.359,6,19,.333,3,6,.444,.487,1,1,.500,2,6,8,6,2,1,3,12,24
204,Kevon Harris,SG,26,ORL,2,0,30,10,15,.667,0,0,,10,15,.667,.667,0,0,,0,10,10,5,0,0,5,15,20
205,Tobias Harris,PF,31,PHI,70,70,338,66,136,.487,13,37,.353,53,99,.537,.535,27,30,.878,11,53,65,31,10,7,13,16,172
206,Shaquille Harrison,SG,30,MEM,3,0,20,3,7,.500,0,0,,3,7,.500,.500,0,0,,0,7,7,0,0,3,0,0,7
207,Josh Hart,SF,28,NYK,81,42,334,36,84,.434,10,32,.310,27,52,.511,.493,11,14,.791,16,68,83,41,9,3,15,21,94
208,Isaiah Hartenstein,C,25,NYK,75,49,253,31,49,.644,0,0,.333,31,48,.646,.645,15,21,.707,33,51,83,25,12,11,12,28,78
209,Sam Hauser,SF,26,BOS,79,13,220,32,71,.446,25,59,.424,7,12,.559,.623,2,2,.895,6,29,35,10,5,3,4,13,90
210,Jordan Hawkins,SG,21,NOP,67,10,173,26,68,.382,16,44,.366,10,24,.411,.501,10,12,.838,4,18,22,10,3,1,6,11,78
211,Jaxson Hayes,C,23,LAL,70,5,125,18,25,.720,0,1,.000,18,24,.754,.720,7,12,.622,10,20,30,5,5,4,6,18,43
212,Killian Hayes,PG,22,DET,42,31,240,28,67,.413,5,18,.297,23,50,.455,.452,8,12,.660,3,26,28,49,9,5,12,18,69
213,Gordon Hayward,SF,33,TOT,51,28,244,37,79,.464,7,18,.411,29,61,.479,.510,17,24,.742,7,28,35,31,8,3,13,13,98
213,Gordon Hayward,SF,33,CHO,25,25,319,56,119,.468,9,24,.361,47,94,.496,.505,25,32,.765,10,37,47,46,11,5,20,18,145
213,Gordon Hayward,SF,33,OKC,26,3,172,18,41,.453,6,11,.517,13,30,.429,.524,10,15,.692,5,20,25,16,5,0,6,8,53
